"RC" "LT" "HF" "PR" "PA" "FE"
"1" 1 29 65 87 43 2
"2" 1 35 65 163 122 2
"3" 3.00416602394643 40 65 175 117 3
"4" 1.99371553324308 25 60 38 49 2
"5" 1 30 30 57 23 1
"6" 1 45 70 270 124 5
"7" 1.99371553324308 40 65 202 78 4
"8" 4.0148500529942 50 70 226 74 3
"9" 5.00281122783359 50 85 525 222 5
"10" 3.00416602394643 55 80 230 92 3
"11" 32.1367424447532 60 155 1109 897 4
"12" 11.0231763806416 80 95 869 628 5
"13" 3.00416602394643 60 60 553 189 8
"14" 20.0855369231877 90 100 903 3022 6
"15" 30.876642749677 80 145 1216 3049 6
"16" 5.00281122783359 75 85 912 3273 6
"17" 16.945460824541 60 75 689 443 6
"18" 5.00281122783359 85 85 443 251 5
"19" 9.02501349943412 65 80 643 424 5
"20" 59.7398917041452 60 240 1089 843 6
"21" 21.9770779757634 60 80 825 757 7
"22" 4.0148500529942 70 80 385 1350 5
"23" 68.0334842894197 90 180 1335 728 7
"24" 64.715452107403 90 175 953 668 3
"25" 96.5441097728447 95 205 1145 696 6
"26" 30.876642749677 75 305 1129 678 6
"27" 20.9052432350928 70 120 978 529 6
"28" 26.0495371425183 75 70 795 329 6
"29" 221.406416204187 70 300 1618 1075 7
"30" 64.0715225999366 70 250 1020 881 7
"31" 49.8989519734079 60 280 1020 624 8
